variant,canonical,region,province,latitude,longitude,is_province_correct,candidate_region,found_province_shape
Madinah,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
Madina,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
Medina,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
Al Madinah,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
المدينة,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
المدينه,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
المدينة المنورة,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
Turaif,طريف,Northern,Northern Borders Province,31.63301903,38.77688919,True,Northern,Northern Borders Province
Turayf,طريف,Northern,Northern Borders Province,31.63301903,38.77688919,True,Northern,Northern Borders Province
Tarif,طريف,Northern,Northern Borders Province,31.63301903,38.77688919,True,Northern,Northern Borders Province
طريف,طريف,Northern,Northern Borders Province,31.63301903,38.77688919,True,Northern,Northern Borders Province
Makkah,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
Mecca,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
Mekkah,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
Makka,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
مكة,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
مكه,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
مكة المكرمة,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
Taif,الطائف,Western,Makkah Province,21.3476881,40.48415801,True,Western,Makkah Province
Tayef,الطائف,Western,Makkah Province,21.3476881,40.48415801,True,Western,Makkah Province
Al Taif,الطائف,Western,Makkah Province,21.3476881,40.48415801,True,Western,Makkah Province
الطائف,الطائف,Western,Makkah Province,21.3476881,40.48415801,True,Western,Makkah Province
طائف,الطائف,Western,Makkah Province,21.3476881,40.48415801,True,Western,Makkah Province
Tabuk,تبوك,Northern,Tabuk Province,28.40007787,36.54400242,True,Northern,Tabuk Province
Tabouk,تبوك,Northern,Tabuk Province,28.40007787,36.54400242,True,Northern,Tabuk Province
Tabook,تبوك,Northern,Tabuk Province,28.40007787,36.54400242,True,Northern,Tabuk Province
تبوك,تبوك,Northern,Tabuk Province,28.40007787,36.54400242,True,Northern,Tabuk Province
Shaqra,شقراء,Central,Riyadh Province,25.24320297,45.26072978,True,Central,Riyadh Province
Shaqraa,شقراء,Central,Riyadh Province,25.24320297,45.26072978,True,Central,Riyadh Province
شقراء,شقراء,Central,Riyadh Province,25.24320297,45.26072978,True,Central,Riyadh Province
Skaka,سكاكا,Northern,Al Jouf Province,29.94271455,40.18488001,True,Northern,Al Jouf Province
Sakaka,سكاكا,Northern,Al Jouf Province,29.94271455,40.18488001,True,Northern,Al Jouf Province
سكاكا,سكاكا,Northern,Al Jouf Province,29.94271455,40.18488001,True,Northern,Al Jouf Province
Al Baha,ٱلْبَاحَة,Southern,Al Bahah Province,20.04049641,41.4816814,True,Southern,Al Bahah Province
Al-Baha,ٱلْبَاحَة,Southern,Al Bahah Province,20.04049641,41.4816814,True,Southern,Al Bahah Province
Baha,ٱلْبَاحَة,Southern,Al Bahah Province,20.04049641,41.4816814,True,Southern,Al Bahah Province
Bahah,ٱلْبَاحَة,Southern,Al Bahah Province,20.04049641,41.4816814,True,Southern,Al Bahah Province
الباحة,ٱلْبَاحَة,Southern,Al Bahah Province,20.04049641,41.4816814,True,Southern,Al Bahah Province
ٱلْبَاحَة,ٱلْبَاحَة,Southern,Al Bahah Province,20.04049641,41.4816814,True,Southern,Al Bahah Province
Hafar Al Batin,حفر الباطن,Central,Eastern Province,28.38285319,45.97309586,True,Eastern,Eastern Province
Hafr Al Batin,حفر الباطن,Central,Eastern Province,28.38285319,45.97309586,True,Eastern,Eastern Province
Hafar al-Batin,حفر الباطن,Central,Eastern Province,28.38285319,45.97309586,True,Eastern,Eastern Province
حفر الباطن,حفر الباطن,Central,Eastern Province,28.38285319,45.97309586,True,Eastern,Eastern Province
Al Khurmah,الخرمة,Western,Makkah Province,21.91660541,42.02986639,True,Western,Makkah Province
Khurmah,الخرمة,Western,Makkah Province,21.91660541,42.02986639,True,Western,Makkah Province
الخرمة,الخرمة,Western,Makkah Province,21.91660541,42.02986639,True,Western,Makkah Province
Ras Al Khair,راس الخير,Eastern,Eastern Province,27.4983987,49.1868235,True,Eastern,Eastern Province
Ras al-Khair,راس الخير,Eastern,Eastern Province,27.4983987,49.1868235,True,Eastern,Eastern Province
راس الخير,راس الخير,Eastern,Eastern Province,27.4983987,49.1868235,True,Eastern,Eastern Province
Arar,عرعر,Northern,Northern Borders Province,30.88979676,41.21789987,True,Northern,Northern Borders Province
Ar'ar,عرعر,Northern,Northern Borders Province,30.88979676,41.21789987,True,Northern,Northern Borders Province
عرعر,عرعر,Northern,Northern Borders Province,30.88979676,41.21789987,True,Northern,Northern Borders Province
Najran,نجران,Southern,Najran Province,17.54590321,44.23905053,True,Southern,Najran Province
Nejran,نجران,Southern,Najran Province,17.54590321,44.23905053,True,Southern,Najran Province
نجران,نجران,Southern,Najran Province,17.54590321,44.23905053,True,Southern,Najran Province
Al Shuaiba,الشعيبة,Western,Makkah Province,27.8505383,42.7540251,False,Northern,Hail Province
Shuaiba,الشعيبة,Western,Makkah Province,27.8505383,42.7540251,False,Northern,Hail Province
الشعيبة,الشعيبة,Western,Makkah Province,27.8505383,42.7540251,False,Northern,Hail Province
Duba,ضبا,Northern,Tabuk Province,27.34971154,35.69861962,True,Northern,Tabuk Province
Dhuba,ضبا,Northern,Tabuk Province,27.34971154,35.69861962,True,Northern,Tabuk Province
ضبا,ضبا,Northern,Tabuk Province,27.34971154,35.69861962,True,Northern,Tabuk Province
Asir,عسير,Southern,Asir Province,19.0969062,42.8637875,True,Southern,Asir Province
Aseer,عسير,Southern,Asir Province,19.0969062,42.8637875,True,Southern,Asir Province
عسير,عسير,Southern,Asir Province,19.0969062,42.8637875,True,Southern,Asir Province
Bisha,Bisha,Southern,Asir Province,19.98902783,42.61390742,True,Southern,Asir Province
Bishah,Bisha,Southern,Asir Province,19.98902783,42.61390742,True,Southern,Asir Province
بيشة,Bisha,Southern,Asir Province,19.98902783,42.61390742,True,Southern,Asir Province
بيشه,Bisha,Southern,Asir Province,19.98902783,42.61390742,True,Southern,Asir Province
Al-Muzahmiyya,Al-Muzahmiyya,Central,Riyadh Province,24.45155862,46.23038405,True,Central,Riyadh Province
Al Muzahmiyya,Al-Muzahmiyya,Central,Riyadh Province,24.45155862,46.23038405,True,Central,Riyadh Province
Muzahmiyya,Al-Muzahmiyya,Central,Riyadh Province,24.45155862,46.23038405,True,Central,Riyadh Province
المزاحمية,Al-Muzahmiyya,Central,Riyadh Province,24.45155862,46.23038405,True,Central,Riyadh Province
Al Ula,Al Ula,Northern,Madinah Province,26.59374805,37.93433379,True,Western,Madinah Province
AlUla,Al Ula,Northern,Madinah Province,26.59374805,37.93433379,True,Western,Madinah Province
Al-Ula,Al Ula,Northern,Madinah Province,26.59374805,37.93433379,True,Western,Madinah Province
العلا,Al Ula,Northern,Madinah Province,26.59374805,37.93433379,True,Western,Madinah Province
Al Qatif,Al Qatif,Eastern,Eastern Province,26.56397254,50.00477781,True,Eastern,Eastern Province
